id,title,date4,time3,author,counts,sometext,category,date2
133,"Видео дня: прототип необычного игрового ноутбука-трансформера Intel Honeycomb Glacier, оснащенного двумя экранами",2019-05-29,Обновлено: 29.05.2019 в 15:12,Владимир Скрипин,19,"Похоже, в индустрии мобильных ПК наметился новый тренд. Относительно недавно начали активно выпускаться модели, выделяющиеся дополнительными экранами. И речь здесь не о сенсорных панелях…","
Новости
",11:34 AM 29/05/2019
119,"Клиенты Domino’s Pizza жаловались, что в реальности пицца выглядит не так хорошо, как в рекламе. Сеть поставила камеры видеонаблюдения и подключила машинное обучение, чтобы исправить ситуацию",2019-05-29,Обновлено: 29.05.2019 в 17:59,Владимир Скрипин,97,"Сеть пиццерий Domino’s Pizza натренировала алгоритм с машинным обучением на пиццах, чтобы научить его оценивать качество посредством камеры. Соответствующий сервис под названием DOM Pizza Checker…","
Блоги
",05:49 PM 29/05/2019
125,Dell показала на Computex 2019 обновлённые ноутбуки и компьютеры для различных групп пользователей,2019-05-29,Обновлено: 29.05.2019 в 14:55,Вадим Карпусь,2,Помимо ультрапортативного ноутбука XPS 13 с экономичными процессорами Intel 10-го поколения компания Dell также привезла на выставку Computex 2019 и несколько других систем с различным позиционированием…,"
Новости
",02:30 PM 29/05/2019
129,Завтра Google закроет отдельное приложение YouTube Gaming,2019-05-29,Обновлено: 29.05.2019 в 12:49,Вадим Карпусь,27,"Отдельное приложение YouTube Gaming будет закрыто с 30 мая. Об этих планах стало известно ещё в прошлом году, но точная дата была объявлена только сейчас. Администрация сервиса заявляла, что…","
Новости
",01:14 PM 29/05/2019
137,Легендарная мышь Microsoft возвращается на рынок в виде геймерской версии Pro IntelliMouse стоимостью $60,2019-05-29,Обновлено: 29.05.2019 в 08:15,Игорь Мозуль,54,"В далёком 1996 году Microsoft выпустила свою первую компьютерную мышь серии IntelliMouse, которая произвела революцию в компьютерной индустрии, благодаря продуманному эргономичному дизайну, колёсику…","
Новости
",08:34 AM 29/05/2019
115,Huawei просит ускорить рассмотрение иска против правительства США и признать запрет на ведение бизнеса в стране неконституционным,2019-05-29,Обновлено: 29.05.2019 в 19:08,Владимир Скрипин,96,"Как известно, недавно США усилили давление на Huawei, анонсировав введение новых ограничений. И вот сейчас китайский производитель ответил на новую порцию санкций со стороны США. Юристы Huawei…","
Новости
",07:06 PM 29/05/2019
118,Microsoft кратко рассказала о «современной ОС» с незаметными обновлениями и постоянным подключением,2019-05-29,Обновлено: 30.05.2019 в 08:14,Вадим Карпусь,111,"На этой неделе во время проведения выставки Computex 2019 корпорация Microsoft сделала намёк относительно возможной новой операционной системы, когда корпоративный вице-президент по продажам…","
Новости
",06:05 PM 29/05/2019
134,"Обновлённый ноутбук Dell XPS 13 получил CPU Intel 10-го поколения, увеличенный дисплей, уменьшенные размеры и цену от $1000",2019-05-29,Обновлено: 29.05.2019 в 10:23,Вадим Карпусь,54,Компания Dell продемонстрировала на выставке Computex 2019 обновлённую линейку своих ноутбуков и компьютерных систем в различных сегментах. Одной из новинок стал улучшенный ультрапортативный…,"
Новости
",10:39 AM 29/05/2019
120,Как включить тёмную тему в Chrome на Android,2019-05-29,Обновлено: 29.05.2019 в 17:32,Тарас Мищенко,75,"В браузере Chrome 74 появилась тёмная тема офрмления, которую можно активировать в том числе и на Android. Но проблема в том, что пока эта возможность никак не отображается в интерфейсе браузера на…","
Блоги
",05:32 PM 29/05/2019
116,"Тест-драйв Jaguar I-Pace: «0-100 км/ч» за 4,8 с – есть, запас хода 480 км – нет",2019-05-29,Обновлено: 29.05.2019 в 18:52,Роман Мельниченко,241,"Электромобиль Jaguar I-Pace уже не раз становился героем публикаций: достаточно вспомнить развернутый репортаж с первых всеукраинских демонстраций модели. Кажется, об этом электромобиле…","
Статьи
",06:52 PM 29/05/2019
131,"В Украине будут собирать китайские электробусы Skywell, договоренность с китайской стороной уже достигнута",2019-05-29,Обновлено: 29.05.2019 в 12:33,Сергей Кулеш,200,"Представители компании Skywell Ukraine сообщили, что провели встречу с китайскими специалистами, на которой обсудили возможность крупноузловой сборки электробусов Skywell в Украине. По итогам…","
Новости
",12:29 PM 29/05/2019
136,Amazon по ошибке продал и отгрузил покупателю еще не анонсированный смартфон Moto Z4,2019-05-29,Обновлено: 29.05.2019 в 09:08,Владимир Скрипин,36,"Нередко разного рода утечки достоверной информации о новинках IT-индустрии случаются из-за невнимательности сотрудников онлайнового магазина Amazon, которые преждевременно заводят странички…","
Новости
",09:08 AM 29/05/2019
138,HP представила новый высокопроизводительный ранцевый ПК VR Backpack G2 за $3299,2019-05-29,Обновлено: 29.05.2019 в 09:11,Владимир Скрипин,24,"Как известно, традиционные гарнитуры виртуальной реальности, представленные на рынке, делятся на три категории: одни требуют для работы компьютер или игровую консоль, другие рассчитаны на…","
Новости
",08:05 AM 29/05/2019
114,"Продажи GPU в последнем квартале упали на 10,7%, сильнее всего продажи просели у Intel",2019-05-29,Обновлено: 30.05.2019 в 07:22,Владимир Скрипин,53,"Специалисты аналитической компании Jon Peddie Research оценили рынок GPU (данные включают как дискретные, так и интегрированные GPU) по итогам первого квартала текущего года. Они пришли к выводу, что…","
Новости
",08:31 PM 29/05/2019
126,"27-й сезон автошоу Top Gear с новыми ведущими выйдет уже летом, команда опубликовала полноценный трейлер [видео]",2019-05-29,Обновлено: 29.05.2019 в 14:11,Сергей Кулеш,23,"Команда автошоу Top Gear опубликовала первый трейлер 27-го сезона, в котором дебютирует пара новых ведущих, призванных заменить ушедшего из проекта Мэтта ЛеБлана. Новый сезон выйдет уже летом,…","
Блоги
",01:57 PM 29/05/2019
